obs1_01 1  5  5
obs1_02 1  5 31
obs1_03 1 16  8
obs1_04 1 17 26
obs1_05 1 35  5
obs1_06 1 37 31
obs1_07 1 23 17
obs1_08 1  6 20
obs1_09 1 25  5
obs1_10 1 27 26
obs1_11 1 38 17
obs1_12 1 13 18
obs2_01 2  5  5
obs2_02 2  5 31
obs2_03 2 16  8
obs2_04 2 17 26
obs2_05 2 35  5
obs2_06 2 37 31
obs2_07 2 23 17
obs2_08 2  6 20
obs2_09 2 25  5
obs2_10 2 27 26
obs2_11 2 38 17
obs2_12 2 13 18
obs3_01 3  5  5
obs3_02 3  5 31
obs3_03 3 16  8
obs3_04 3 17 26
obs3_05 3 35  5
obs3_06 3 37 31
obs3_07 3 23 17
obs3_08 3  6 20
obs3_09 3 25  5
obs3_10 3 27 26
obs3_11 3 38 17
obs3_12 3 13 18
